run_id,timestamp_utc,experiment,record_kind,case_id,baseline_case_id,operand_layout,N,tile_divisor,tile_size,tile_grid,distribution,rank_band,min_rank,max_rank,mean_rank_A,mean_rank_B,mean_execution_rank_A,mean_execution_rank_B,exact_rank_count_A,exact_rank_count_B,execution_rank_count_A,execution_rank_count_B,execution_rank_policy,precision,storage_type,compute_mode,seed,factor_fill,warmup,repetitions,analysis_repetitions,workspace_policy,workspace_parameter,A_storage_kind,B_storage_kind,A_storage_bytes,B_storage_bytes,operand_storage_bytes,workspace_bytes,dense_reference_bytes,memory_ratio,analysis_median_ms,analysis_min_ms,numeric_median_ms,numeric_min_ms,dense_median_ms,dense_min_ms,speedup_median,speedup_best,exact_flops,executed_flops,padding_waste_pct,executed_gflops_median,dense_gflops_median,has_fallback,numeric_samples_ms,dense_samples_ms,gpu_name,julia_version
rank_bucketing_ablation__20260802T114225.850Z__pid4632,20260802T114225.850Z,rank_bucketing_ablation,baseline,dense__N16384__fp16,dense__N16384__fp16,dense_dense,16384,,,,,,,,,,,,,,,,,fp16,Float16,fp32_accumulate,20260802,random,1,10,0,none,0,dense,dense,536870912,536870912,1073741824,0,1073741824,1.0,,,11.1722945,10.756647,11.1722945,10.756647,1.0,1.0,8.796093022208e12,8.796093022208e12,0.0,787313.0288686894,787313.0288686894,false,10.756647;10.760964;10.945079;11.029476;11.263105;11.147923;11.196666;11.225348;11.389494;11.454912,10.756647;10.760964;10.945079;11.029476;11.263105;11.147923;11.196666;11.225348;11.389494;11.454912,NVIDIA H100 80GB HBM3,1.12.6
rank_bucketing_ablation__20260802T114225.850Z__pid4632,20260802T114225.850Z,rank_bucketing_ablation,compressed,compressed_compressed__N16384__q16__uniform__r32-128__fp16__exact__w4,dense__N16384__fp16,compressed_compressed,16384,16,1024,16,uniform,b32_b8,32,128,77.58984375,78.18359375,77.58984375,78.18359375,87,86,87,86,exact,fp16,Float16,fp32_accumulate,20260802,random,1,10,3,tlr_tlr_rows,4,compressed_tlr,compressed_tlr,81358848,81981440,163340288,177171478,1073741824,0.31712629459798336,24.894414,23.782791,83.96336,80.256683,11.1722945,10.756647,0.13306154613155072,0.13402805346440744,7.5790034944e11,7.5790034944e11,0.0,9026.560507345108,787313.0288686894,true,90.390208;247.959898;80.256683;80.64211;82.388463;83.874367;85.708271;83.423011;84.052353;87.423618,,NVIDIA H100 80GB HBM3,1.12.6
rank_bucketing_ablation__20260802T114225.850Z__pid4632,20260802T114225.850Z,rank_bucketing_ablation,compressed,compressed_compressed__N16384__q16__uniform__r32-128__fp16__q8__w4,dense__N16384__fp16,compressed_compressed,16384,16,1024,16,uniform,b32_b8,32,128,77.58984375,78.18359375,81.28125,81.40625,87,86,13,13,q8,fp16,Float16,fp32_accumulate,20260802,random,1,10,3,tlr_tlr_rows,4,compressed_tlr,compressed_tlr,85229568,85360640,170590208,185112320,1073741824,0.33127379417419434,48.108815,47.922986,3.6159765000000004,3.605075,11.1722945,10.756647,3.089703293149167,2.9837512395719923,7.5790034944e11,7.97008986112e11,4.90692543666054,220413.20957478564,787313.0288686894,false,3.632366;3.609141;3.627128;3.630854;3.6348;3.605766;3.607508;3.605075;3.622812;3.60894,,NVIDIA H100 80GB HBM3,1.12.6
rank_bucketing_ablation__20260802T114225.850Z__pid4632,20260802T114225.850Z,rank_bucketing_ablation,compressed,compressed_compressed__N16384__q16__uniform__r32-128__fp16__q16__w4,dense__N16384__fp16,compressed_compressed,16384,16,1024,16,uniform,b32_b8,32,128,77.58984375,78.18359375,85.0625,85.125,87,86,7,7,q16,fp16,Float16,fp32_accumulate,20260802,random,1,10,3,tlr_tlr_rows,4,compressed_tlr,compressed_tlr,89194496,89260032,178454528,194132480,1073741824,0.3469986915588379,47.855565,47.582076,3.640828,3.623663,11.1722945,10.756647,3.068613650521255,2.9684457412292478,7.5790034944e11,8.41484337152e11,9.932922577607282,231124.4412402893,787313.0288686894,false,3.640197;3.645275;3.655952;3.63491;3.638255;3.633868;3.649472;3.646026;3.641459;3.623663,,NVIDIA H100 80GB HBM3,1.12.6
rank_bucketing_ablation__20260802T114225.850Z__pid4632,20260802T114225.850Z,rank_bucketing_ablation,compressed,compressed_compressed__N16384__q16__uniform__r32-128__fp16__pow2__w4,dense__N16384__fp16,compressed_compressed,16384,16,1024,16,uniform,b32_b8,32,128,77.58984375,78.18359375,101.125,103.0,87,86,3,3,pow2,fp16,Float16,fp32_accumulate,20260802,random,1,10,3,tlr_tlr_rows,4,compressed_tlr,compressed_tlr,106037248,108003328,214040576,238415872,1073741824,0.4213829040527344,52.856659,47.59792,4.2196345,4.195719,11.1722945,10.756647,2.6476924719427712,2.5637195913263016,7.58579826688e11,1.040086728704e12,27.06571425699967,246487.398068245,787313.0288686894,false,4.219925;4.203671;4.21034;4.195719;4.212914;4.223681;4.227587;4.219344;4.242299;4.221798,,NVIDIA H100 80GB HBM3,1.12.6
rank_bucketing_ablation__20260802T114225.850Z__pid4632,20260802T114225.850Z,rank_bucketing_ablation,compressed,compressed_compressed__N16384__q16__skewed__r32-128__fp16__exact__w4,dense__N16384__fp16,compressed_compressed,16384,16,1024,16,skewed,b32_b8,32,128,62.62890625,62.82421875,62.62890625,62.82421875,80,79,80,79,exact,fp16,Float16,fp32_accumulate,20260802,random,1,10,3,tlr_tlr_rows,4,compressed_tlr,compressed_tlr,65671168,65875968,131547136,140487088,1073741824,0.2533516138792038,22.444027,22.344478,80.2416205,79.423756,11.1722945,10.756647,0.1392331614240019,0.1354336226556699,5.90538596352e11,5.90538596352e11,0.0,7359.504863838088,787313.0288686894,true,80.331205;80.152036;79.645048;79.570046;79.423756;79.700481;83.714327;85.449194;84.958309;85.472107,,NVIDIA H100 80GB HBM3,1.12.6
rank_bucketing_ablation__20260802T114225.850Z__pid4632,20260802T114225.850Z,rank_bucketing_ablation,compressed,compressed_compressed__N16384__q16__skewed__r32-128__fp16__q8__w4,dense__N16384__fp16,compressed_compressed,16384,16,1024,16,skewed,b32_b8,32,128,62.62890625,62.82421875,65.90625,66.28125,80,79,13,13,q8,fp16,Float16,fp32_accumulate,20260802,random,1,10,3,tlr_tlr_rows,4,compressed_tlr,compressed_tlr,69107712,69500928,138608640,148670464,1073741824,0.2675495147705078,48.026992,47.921644,3.100535,3.089634,11.1722945,10.756647,3.603344100292369,3.481527909130984,5.90538596352e11,6.26624823296e11,5.7588249942268686,202102.16085159496,787313.0288686894,false,3.110695;3.101622;3.101881;3.089634;3.097575;3.099448;3.094661;3.101973;3.096564;3.102273,,NVIDIA H100 80GB HBM3,1.12.6
rank_bucketing_ablation__20260802T114225.850Z__pid4632,20260802T114225.850Z,rank_bucketing_ablation,compressed,compressed_compressed__N16384__q16__skewed__r32-128__fp16__q16__w4,dense__N16384__fp16,compressed_compressed,16384,16,1024,16,skewed,b32_b8,32,128,62.62890625,62.82421875,69.5625,69.9375,80,79,7,7,q16,fp16,Float16,fp32_accumulate,20260802,random,1,10,3,tlr_tlr_rows,4,compressed_tlr,compressed_tlr,72941568,73334784,146276352,157375488,1073741824,0.28279781341552734,47.969516,47.915955,3.1044460000000003,3.091726,11.1722945,10.756647,3.598804585423615,3.4791721517366025,5.90538596352e11,6.66535723008e11,11.40180849017868,214703.59703728135,787313.0288686894,false,3.105518;3.12062;3.10701;3.116143;3.118987;3.091726;3.102983;3.092168;3.103374;3.097015,,NVIDIA H100 80GB HBM3,1.12.6
rank_bucketing_ablation__20260802T114225.850Z__pid4632,20260802T114225.850Z,rank_bucketing_ablation,compressed,compressed_compressed__N16384__q16__skewed__r32-128__fp16__pow2__w4,dense__N16384__fp16,compressed_compressed,16384,16,1024,16,skewed,b32_b8,32,128,62.62890625,62.82421875,84.5,85.0,80,79,3,3,pow2,fp16,Float16,fp32_accumulate,20260802,random,1,10,3,tlr_tlr_rows,4,compressed_tlr,compressed_tlr,88604672,89128960,177733632,193644544,1073741824,0.3458728790283203,48.672277,48.43313,3.5145295,3.503193,11.1722945,10.756647,3.1788876718775585,3.070526516809094,5.90538596352e11,8.36516184064e11,29.405000452828155,238016.54931734107,787313.0288686894,false,3.532827;3.515501;3.519236;3.508861;3.525035;3.513558;3.530563;3.513157;3.503193;3.506507,,NVIDIA H100 80GB HBM3,1.12.6
