case_id,N,tile_size,profile,distribution,min_rank,max_rank,precision,rows_per_run,workspace_bytes,analysis_ms,analysis_min_ms,transient_median_ms,transient_min_ms,analyzed_median_ms,analyzed_min_ms,dense_median_ms,dense_min_ms,analyzed_speedup,cold_analysis_plus_numeric_ms,analysis_amortization_calls,exact_flops,executed_flops,padding_waste_pct,analyzed_executed_gflops,dense_gflops
N32768__b4096__constant_b8__fp32__rows4,32768,4096,constant_b8,constant,512,512,fp32,4,2415919104,6.081492,4.004523,235.530549,225.82914,226.822707,226.41669,1341.943171,1335.310666,5.916264684205536,232.904199,1,1.099511627776e13,1.099511627776e13,0.0,48474.49544705416,52437.946478185106
N32768__b4096__uniform_b32_b8__fp32__rows4,32768,4096,uniform_b32_b8,uniform,128,512,fp32,4,1451736064,4.307016,4.112214,134.99221,134.942806,134.098894,134.035589,1341.943171,1335.310666,10.007115875243533,138.40591,5,5.8013700096e12,5.891374972928e12,1.5277412105253885,43933.061617406034,52437.946478185106
N32768__b4096__skewed_b32_b8__fp32__rows4,32768,4096,skewed_b32_b8,skewed,128,512,fp32,4,1101837312,2.32581,2.273943,101.499497,101.420799,100.756245,100.675694,1341.943171,1335.310666,13.31870963432589,103.08205500000001,4,4.352313950208e12,4.412907978752e12,1.3731088170376125,43797.860656200515,52437.946478185106
N32768__b8192__constant_b32__fp16_fp32__rows4,32768,8192,constant_b32,constant,256,256,fp16_fp32,4,276824064,1.211203,1.077152,8.612319,8.546841,8.166261,8.101244,99.040247,97.485701,12.127979622497982,9.377464,3,2.336462209024e12,2.336462209024e12,0.0,286111.6255069487,710506.5497026072
N32768__b8192__constant_b16__fp16_fp32__rows4,32768,8192,constant_b16,constant,512,512,fp16_fp32,4,570425344,1.325644,1.215179,17.070236,16.573092,17.758526,17.492759,99.040247,97.485701,5.577053354540799,19.08417,Inf,4.947802324992e12,4.947802324992e12,0.0,278615.5970935876,710506.5497026072
N32768__b8192__constant_b8__fp16_fp32__rows4,32768,8192,constant_b8,constant,1024,1024,fp16_fp32,4,1207959552,0.716753,0.62138,39.506002,38.398225,38.730602,38.66304,99.040247,97.485701,2.557157438451383,39.447354999999995,1,1.099511627776e13,1.099511627776e13,0.0,283887.0482250702,710506.5497026072
N32768__b8192__uniform_b32_b8__fp16_fp32__rows4,32768,8192,uniform_b32_b8,uniform,256,1024,fp16_fp32,4,688425216,1.633885,1.344382,315.352986,22.710777,20.833178,20.597905,99.040247,97.485701,4.7539673015802,22.467063,1,6.035064356864e12,6.060773474304e12,0.4241887202846226,290919.29586086195,710506.5497026072
N32768__b8192__skewed_b32_b8__fp16_fp32__rows4,32768,8192,skewed_b32_b8,skewed,256,1024,fp16_fp32,4,539830016,0.946707,0.914699,16.333905,16.212062,16.585571,16.407905,99.040247,97.485701,5.971470442591333,17.532278,Inf,4.659115098112e12,4.699931541504e12,0.8684476152803398,283374.7202013123,710506.5497026072
N32768__b8192__constant_b32__fp32_tf32__rows4,32768,8192,constant_b32,constant,256,256,fp32_tf32,4,553648128,0.901799,0.820618,13.343859,13.274636,13.90565,13.881614,199.951735,195.063038,14.379172135067401,14.807449,Inf,2.336462209024e12,2.336462209024e12,0.0,168022.50948528116,351928.6500697981
N32768__b8192__constant_b16__fp32_tf32__rows4,32768,8192,constant_b16,constant,512,512,fp32_tf32,4,1140850688,1.58343,1.218955,39.065984,28.870736,29.517664,29.487439,199.951735,195.063038,6.773968800512128,31.101094,1,4.947802324992e12,4.947802324992e12,0.0,167621.74422040986,351928.6500697981
N32768__b8192__constant_b8__fp32_tf32__rows4,32768,8192,constant_b8,constant,1024,1024,fp32_tf32,4,2415919104,1.514296,1.43692,72.064287,62.150711,63.562183,63.526018,199.951735,195.063038,3.1457656984499733,65.07647899999999,1,1.099511627776e13,1.099511627776e13,0.0,172982.04307677728,351928.6500697981
N32768__b8192__uniform_b32_b8__fp32_tf32__rows4,32768,8192,uniform_b32_b8,uniform,256,1024,fp32_tf32,4,1376850432,1.301368,1.292484,38.377223,37.989152,37.431778,36.592612,199.951735,195.063038,5.341764289155594,38.733146000000005,2,6.035064356864e12,6.060773474304e12,0.4241887202846226,161915.1907318963,351928.6500697981
N32768__b8192__skewed_b32_b8__fp32_tf32__rows4,32768,8192,skewed_b32_b8,skewed,256,1024,fp32_tf32,4,1079660032,1.083892,0.973587,29.150555,27.432524,28.944697,27.865812,199.951735,195.063038,6.908061086284649,30.028589,6,4.659115098112e12,4.699931541504e12,0.8684476152803398,162376.25640040386,351928.6500697981
N32768__b8192__constant_b32__fp32__rows4,32768,8192,constant_b32,constant,256,256,fp32,4,553648128,1.299145,1.147928,51.102096,50.95773,50.415218,50.343751,1341.943171,1335.310666,26.617819464749708,51.714363000000006,2,2.336462209024e12,2.336462209024e12,0.0,46344.38373397493,52437.946478185106
N32768__b8192__constant_b16__fp32__rows4,32768,8192,constant_b16,constant,512,512,fp32,4,1140850688,1.333125,1.105875,106.403647,106.163868,105.708166,105.648616,1341.943171,1335.310666,12.694791914183808,107.041291,2,4.947802324992e12,4.947802324992e12,0.0,46806.24508225788,52437.946478185106
N32768__b8192__constant_b8__fp32__rows4,32768,8192,constant_b8,constant,1024,1024,fp32,4,2415919104,4.61083,1.903038,232.185523,231.744263,234.296302,233.736003,1341.943171,1335.310666,5.727547381434983,238.907132,Inf,1.099511627776e13,1.099511627776e13,0.0,46928.253599837015,52437.946478185106
N32768__b8192__uniform_b32_b8__fp32__rows4,32768,8192,uniform_b32_b8,uniform,256,1024,fp32,4,1376850432,1.277962,1.26296,122.493686,122.244172,122.044384,121.94869,1341.943171,1335.310666,10.995533977212748,123.322346,3,6.035064356864e12,6.060773474304e12,0.4241887202846226,49660.404482880585,52437.946478185106
N32768__b8192__skewed_b32_b8__fp32__rows4,32768,8192,skewed_b32_b8,skewed,256,1024,fp32,4,1079660032,2.000634,0.814179,98.40071,98.311336,95.120421,95.034693,1341.943171,1335.310666,14.107834646778949,97.121055,1,4.659115098112e12,4.699931541504e12,0.8684476152803398,49410.3315785787,52437.946478185106
N65536__b4096__constant_b32__fp16_fp32__rows4,65536,4096,constant_b32,constant,128,128,fp16_fp32,4,1107296256,9.695535,9.563387,68.799625,68.206647,66.471472,66.392905,875.571722,854.11925,13.172142810377359,76.16700700000001,5,1.8691697672192e13,1.8691697672192e13,0.0,281198.7926518612,642951.2731811501
N65536__b4096__constant_b16__fp16_fp32__rows4,65536,4096,constant_b16,constant,256,256,fp16_fp32,4,2281701376,15.824514,11.834194,141.495539,140.232961,148.42072,140.336836,875.571722,854.11925,5.899255319607668,164.24523399999998,Inf,3.9582418599936e13,3.9582418599936e13,0.0,266690.6520864203,642951.2731811501
N65536__b4096__constant_b8__fp16_fp32__rows4,65536,4096,constant_b8,constant,512,512,fp16_fp32,4,4831838208,16.8181,12.116297,320.989937,309.555561,321.704036,315.746342,875.571722,854.11925,2.7216684406160203,338.522136,Inf,8.796093022208e13,8.796093022208e13,0.0,273421.90454234777,642951.2731811501
N65536__b4096__uniform_b32_b8__fp16_fp32__rows4,65536,4096,uniform_b32_b8,uniform,128,512,fp16_fp32,4,2973254912,14.349067,11.282188,197.883629,196.424034,199.145717,198.0853,875.571722,854.11925,4.396638477542552,213.49478399999998,Inf,4.9504430718976e13,5.0150982549504e13,1.2892106947053115,251830.58568868946,642951.2731811501
N65536__b4096__skewed_b32_b8__fp16_fp32__rows4,65536,4096,skewed_b32_b8,skewed,128,512,fp16_fp32,4,2375678336,19.390619,19.074887,186.733859,156.119089,151.223995,151.123224,875.571722,854.11925,5.789899427005615,170.61461400000002,1,3.8133229862912e13,3.8697400532992e13,1.457903275955212,255894.57898524636,642951.2731811501
N65536__b4096__constant_b32__fp32_tf32__rows4,65536,4096,constant_b32,constant,128,128,fp32_tf32,4,2214592512,9.604879,9.572251,274.681454,116.603903,115.738048,114.36901,1801.867818,1784.279821,15.56850015303524,125.342927,1,1.8691697672192e13,1.8691697672192e13,0.0,161500.02523104587,312425.77718390216
N65536__b4096__constant_b16__fp32_tf32__rows4,65536,4096,constant_b16,constant,256,256,fp32_tf32,4,4563402752,16.104503,11.974865,284.83236,273.057244,269.185732,267.656264,1801.867818,1784.279821,6.693771637198067,285.290235,2,3.9582418599936e13,3.9582418599936e13,0.0,147045.00979991019,312425.77718390216
N65536__b4096__constant_b8__fp32_tf32__rows4,65536,4096,constant_b8,constant,512,512,fp32_tf32,4,9663676416,16.038855,11.317592,659.439932,657.325418,664.425361,646.810398,1801.867818,1784.279821,2.711919086423915,680.464216,Inf,8.796093022208e13,8.796093022208e13,0.0,132386.47316185152,312425.77718390216
N65536__b4096__uniform_b32_b8__fp32_tf32__rows4,65536,4096,uniform_b32_b8,uniform,128,512,fp32_tf32,4,5946509824,10.699066,10.5077,405.205878,383.173497,384.562925,382.95539,1801.867818,1784.279821,4.685495404945757,395.261991,1,4.9504430718976e13,5.0150982549504e13,1.2892106947053115,130410.3419473003,312425.77718390216
N65536__b4096__skewed_b32_b8__fp32_tf32__rows4,65536,4096,skewed_b32_b8,skewed,128,512,fp32_tf32,4,4751356672,16.407226,13.259227,293.158851,284.38188,284.02724,282.281699,1801.867818,1784.279821,6.343996505405608,300.434466,2,3.8133229862912e13,3.8697400532992e13,1.457903275955212,136245.3845377366,312425.77718390216
N65536__b4096__constant_b32__fp32__rows4,65536,4096,constant_b32,constant,128,128,fp32,4,2214592512,9.378882,9.339433,389.625991,388.464312,391.297161,388.421158,10727.456326,10695.811889,27.415114126013297,400.676043,Inf,1.8691697672192e13,1.8691697672192e13,0.0,47768.54916203187,52477.487329116164
N65536__b4096__constant_b16__fp32__rows4,65536,4096,constant_b16,constant,256,256,fp32,4,4563402752,16.622349,11.136531,839.102915,835.137173,834.846138,834.269645,10727.456326,10695.811889,12.849620831569325,851.468487,4,3.9582418599936e13,3.9582418599936e13,0.0,47412.83069807529,52477.487329116164
N65536__b4096__constant_b8__fp32__rows4,65536,4096,constant_b8,constant,512,512,fp32,4,9663676416,17.464198,11.909858,1837.140334,1834.227503,1836.46696,1834.992586,10727.456326,10695.811889,5.841355472030926,1853.9311579999999,26,8.796093022208e13,8.796093022208e13,0.0,47896.821526307234,52477.487329116164
