case_id,N,tile_size,profile,distribution,min_rank,max_rank,precision,rows_per_run,workspace_bytes,analysis_ms,analysis_min_ms,transient_median_ms,transient_min_ms,analyzed_median_ms,analyzed_min_ms,dense_median_ms,dense_min_ms,analyzed_speedup,cold_analysis_plus_numeric_ms,analysis_amortization_calls,exact_flops,executed_flops,padding_waste_pct,analyzed_executed_gflops,dense_gflops
N4096__b256__constant_b32__fp16_fp32__rows4,4096,256,constant_b32,constant,8,8,fp16_fp32,4,4325376,10.374125,10.346794,12.377493,12.279636,0.32757,0.326859,0.220671,0.21408,0.6736605916292702,10.701694999999999,1,4.563402752e9,4.563402752e9,0.0,13931.076569893457,622822.9059187659
N4096__b256__constant_b16__fp16_fp32__rows4,4096,256,constant_b16,constant,16,16,fp16_fp32,4,8912896,9.417013,9.397754,11.331608,11.286361,0.346509,0.345327,0.220671,0.21408,0.6368406015428171,9.763522,1,9.663676416e9,9.663676416e9,0.0,27888.673644840394,622822.9059187659
N4096__b256__constant_b8__fp16_fp32__rows4,4096,256,constant_b8,constant,32,32,fp16_fp32,4,18874368,9.469782,9.427238,11.568683,11.434182,0.403864,0.403624,0.220671,0.21408,0.5463992829269259,9.873646,1,2.147483648e10,2.147483648e10,0.0,53173.435810074676,622822.9059187659
N4096__b256__uniform_b32_b8__fp16_fp32__rows4,4096,256,uniform_b32_b8,uniform,8,32,fp16_fp32,4,13511552,9.750041,9.5755,11.64003,11.626609,0.373179,0.373069,0.220671,0.21408,0.5913274862733434,10.12322,1,1.207602176e10,1.4560919552e10,17.065527923054074,39018.59309339486,622822.9059187659
N4096__b256__skewed_b32_b8__fp16_fp32__rows4,4096,256,skewed_b32_b8,skewed,8,32,fp16_fp32,4,10920704,9.585214,9.581238,11.425959,11.365609,0.379798,0.379327,0.220671,0.21408,0.581022016966914,9.965012,1,9.208372224e9,1.1276189696e10,18.33790959310942,29689.96597138479,622822.9059187659
N4096__b256__constant_b32__fp32_tf32__rows4,4096,256,constant_b32,constant,8,8,fp32_tf32,4,8650752,55.177956,21.915437,69.207141,34.171169,0.318106,0.316704,1.400766,1.246074,4.403456709398753,55.496062,1,4.563402752e9,4.563402752e9,0.0,14345.541272406053,98116.99703733528
N4096__b256__constant_b16__fp32_tf32__rows4,4096,256,constant_b16,constant,16,16,fp32_tf32,4,17825792,9.419316,9.322642,11.425649,11.402103,0.387369,0.382893,1.400766,1.246074,3.616102475933799,9.806685,1,9.663676416e9,9.663676416e9,0.0,24946.953462977162,98116.99703733528
N4096__b256__constant_b8__fp32_tf32__rows4,4096,256,constant_b8,constant,32,32,fp32_tf32,4,37748736,10.007566,9.70861,11.702152,11.652117,0.767108,0.564785,1.400766,1.246074,1.8260349259817392,10.774674000000001,1,2.147483648e10,2.147483648e10,0.0,27994.54115978454,98116.99703733528
N4096__b256__uniform_b32_b8__fp32_tf32__rows4,4096,256,uniform_b32_b8,uniform,8,32,fp32_tf32,4,27023104,9.637683,9.498985,11.778267,11.615824,0.435362,0.435132,1.400766,1.246074,3.217474193889223,10.073045,1,1.207602176e10,1.4560919552e10,17.065527923054074,33445.54543575232,98116.99703733528
N4096__b256__skewed_b32_b8__fp32_tf32__rows4,4096,256,skewed_b32_b8,skewed,8,32,fp32_tf32,4,21841408,9.52821,9.484434,11.532439,11.518788,0.410885,0.409713,1.400766,1.246074,3.4091436776713677,9.939095,1,9.208372224e9,1.1276189696e10,18.33790959310942,27443.66354576098,98116.99703733528
N4096__b256__constant_b32__fp32__rows4,4096,256,constant_b32,constant,8,8,fp32,4,8650752,9.542901,9.417634,13.611901,11.380821,0.66809,0.649182,2.731318,2.719831,4.088248589261926,10.210991,1,4.563402752e9,4.563402752e9,0.0,6830.520965738149,50319.645486904126
N4096__b256__constant_b16__fp32__rows4,4096,256,constant_b16,constant,16,16,fp32,4,17825792,9.447869,9.407419,11.375313,11.317046,0.908079,0.887899,2.731318,2.719831,3.0077977797085937,10.355948000000001,1,9.663676416e9,9.663676416e9,0.0,10641.889544852374,50319.645486904126
N4096__b256__constant_b8__fp32__rows4,4096,256,constant_b8,constant,32,32,fp32,4,37748736,9.485455,9.476072,11.950545,11.745788,1.20261,1.185154,2.731318,2.719831,2.2711585634578126,10.688065,1,2.147483648e10,2.147483648e10,0.0,17856.858399647434,50319.645486904126
N4096__b256__uniform_b32_b8__fp32__rows4,4096,256,uniform_b32_b8,uniform,8,32,fp32,4,27023104,10.491291,9.56875,41.0679,29.409603,1.048269,1.032035,2.731318,2.719831,2.6055506744929025,11.53956,1,1.207602176e10,1.4560919552e10,17.065527923054074,13890.441815984257,50319.645486904126
N4096__b256__skewed_b32_b8__fp32__rows4,4096,256,skewed_b32_b8,skewed,8,32,fp32,4,21841408,10.034557,10.010331,12.231655,12.222532,0.980908,0.958575,2.731318,2.719831,2.784479278382886,11.015464999999999,1,9.208372224e9,1.1276189696e10,18.33790959310942,11495.664930859979,50319.645486904126
N4096__b512__constant_b32__fp16_fp32__rows4,4096,512,constant_b32,constant,16,16,fp16_fp32,4,4325376,2.205821,2.157669,2.754452,2.62605,0.146249,0.144957,0.220671,0.21408,1.508871855534055,2.35207,1,4.563402752e9,4.563402752e9,0.0,31202.967213451033,622822.9059187659
N4096__b512__constant_b16__fp16_fp32__rows4,4096,512,constant_b16,constant,32,32,fp16_fp32,4,8912896,2.264219,2.140113,2.620952,2.608954,0.162684,0.161412,0.220671,0.21408,1.3564394777605666,2.4269030000000003,1,9.663676416e9,9.663676416e9,0.0,59401.51714981191,622822.9059187659
N4096__b512__constant_b8__fp16_fp32__rows4,4096,512,constant_b8,constant,64,64,fp16_fp32,4,18874368,2.318179,2.183858,2.829555,2.657497,0.192828,0.192158,0.220671,0.21408,1.1443929304872738,2.511007,1,2.147483648e10,2.147483648e10,0.0,111367.83288734002,622822.9059187659
N4096__b512__uniform_b32_b8__fp16_fp32__rows4,4096,512,uniform_b32_b8,uniform,16,64,fp16_fp32,4,12091008,2.286532,2.175856,2.750977,2.672209,0.18101,0.179308,0.220671,0.21408,1.2191094414673223,2.467542,1,1.1299264512e10,1.261109248e10,10.402175466403367,69670.69487873599,622822.9059187659
N4096__b512__skewed_b32_b8__fp16_fp32__rows4,4096,512,skewed_b32_b8,skewed,16,64,fp16_fp32,4,9379584,2.252631,2.150729,2.73963,2.660111,0.170946,0.170505,0.220671,0.21408,1.290881330946615,2.423577,1,8.439154688e9,9.377021952e9,10.001760354202485,54853.70790776035,622822.9059187659
N4096__b512__constant_b32__fp32_tf32__rows4,4096,512,constant_b32,constant,16,16,fp32_tf32,4,8650752,2.697617,2.445409,3.228722,3.042834,0.184957,0.184616,1.400766,1.246074,7.573468427796731,2.882574,1,4.563402752e9,4.563402752e9,0.0,24672.776656195765,98116.99703733528
N4096__b512__constant_b16__fp32_tf32__rows4,4096,512,constant_b16,constant,32,32,fp32_tf32,4,17825792,2.865558,2.515955,4.826432,3.085017,0.212738,0.211827,1.400766,1.246074,6.584465398753395,3.078296,1,9.663676416e9,9.663676416e9,0.0,45425.24803279151,98116.99703733528
N4096__b512__constant_b8__fp32_tf32__rows4,4096,512,constant_b8,constant,64,64,fp32_tf32,4,37748736,2.285961,2.09871,4.272133,2.841843,0.294501,0.293189,1.400766,1.246074,4.756404901850927,2.580462,1,2.147483648e10,2.147483648e10,0.0,72919.40088488664,98116.99703733528
N4096__b512__uniform_b32_b8__fp32_tf32__rows4,4096,512,uniform_b32_b8,uniform,16,64,fp32_tf32,4,24182016,2.417067,2.152772,2.718568,2.685078,0.249694,0.249253,1.400766,1.246074,5.609930554999319,2.6667609999999997,1,1.1299264512e10,1.261109248e10,10.402175466403367,50506.189495943036,98116.99703733528
N4096__b512__skewed_b32_b8__fp32_tf32__rows4,4096,512,skewed_b32_b8,skewed,16,64,fp32_tf32,4,18759168,2.333512,2.311279,3.315401,3.175602,0.215111,0.21389,1.400766,1.246074,6.511828776771062,2.5486229999999996,1,8.439154688e9,9.377021952e9,10.001760354202485,43591.55018571807,98116.99703733528
N4096__b512__constant_b32__fp32__rows4,4096,512,constant_b32,constant,16,16,fp32,4,8650752,2.361364,2.132201,2.730246,2.645539,0.599788,0.595151,2.731318,2.719831,4.553805678006229,2.9611520000000002,2,4.563402752e9,4.563402752e9,0.0,7608.359540370931,50319.645486904126
N4096__b512__constant_b16__fp32__rows4,4096,512,constant_b16,constant,32,32,fp32,4,17825792,2.274604,2.262106,2.800591,2.797757,0.562672,0.554009,2.731318,2.719831,4.854192140358859,2.837276,2,9.663676416e9,9.663676416e9,0.0,17174.617567605994,50319.645486904126
N4096__b512__constant_b8__fp32__rows4,4096,512,constant_b8,constant,64,64,fp32,4,37748736,2.304769,2.296647,2.877576,2.853931,0.897834,0.882481,2.731318,2.719831,3.04211914451892,3.202603,2,2.147483648e10,2.147483648e10,0.0,23918.49326267439,50319.645486904126
N4096__b512__uniform_b32_b8__fp32__rows4,4096,512,uniform_b32_b8,uniform,16,64,fp32,4,24182016,2.233102,2.167163,2.876084,2.77302,0.727299,0.717664,2.731318,2.719831,3.7554265852146087,2.960401,2,1.1299264512e10,1.261109248e10,10.402175466403367,17339.625766019202,50319.645486904126
N4096__b512__skewed_b32_b8__fp32__rows4,4096,512,skewed_b32_b8,skewed,16,64,fp32,4,18759168,2.336848,2.295215,2.851627,2.805909,0.569873,0.560759,2.731318,2.719831,4.792853846383317,2.9067209999999997,2,8.439154688e9,9.377021952e9,10.001760354202485,16454.58190158158,50319.645486904126
N4096__b1024__constant_b32__fp16_fp32__rows4,4096,1024,constant_b32,constant,32,32,fp16_fp32,4,4325376,0.706918,0.610443,0.851554,0.739917,0.08648,0.086148,0.220671,0.21408,2.551699814986124,0.793398,1,4.563402752e9,4.563402752e9,0.0,52768.301942645696,622822.9059187659
N4096__b1024__constant_b16__fp16_fp32__rows4,4096,1024,constant_b16,constant,64,64,fp16_fp32,4,8912896,0.608921,0.587599,0.75532,0.752306,0.099579,0.097576,0.220671,0.21408,2.21603952640617,0.7085,1,9.663676416e9,9.663676416e9,0.0,97045.32497815805,622822.9059187659
N4096__b1024__constant_b8__fp16_fp32__rows4,4096,1024,constant_b8,constant,128,128,fp16_fp32,4,18874368,0.694319,0.687599,0.802781,0.794729,0.131687,0.131447,0.220671,0.21408,1.6757234958651956,0.826006,2,2.147483648e10,2.147483648e10,0.0,163074.8401892366,622822.9059187659
N4096__b1024__uniform_b32_b8__fp16_fp32__rows4,4096,1024,uniform_b32_b8,uniform,32,128,fp16_fp32,4,11218944,0.635391,0.600929,0.70218,0.631995,0.108642,0.104336,0.220671,0.21408,2.031175788369139,0.744033,2,1.1777499136e10,1.23731968e10,4.81442002118644,113889.62647963034,622822.9059187659
N4096__b1024__skewed_b32_b8__fp16_fp32__rows4,4096,1024,skewed_b32_b8,skewed,32,128,fp16_fp32,4,8827392,1.007989,1.002961,1.252525,1.168398,0.107461,0.106249,0.220671,0.21408,2.053498478517788,1.11545,1,9.07911168e9,9.622781952e9,5.649824288983328,89546.73743962926,622822.9059187659
N4096__b1024__constant_b32__fp32_tf32__rows4,4096,1024,constant_b32,constant,32,32,fp32_tf32,4,8650752,0.726196,0.682571,0.778415,0.754289,0.12725,0.124196,1.400766,1.246074,11.007984282907662,0.8534459999999999,2,4.563402752e9,4.563402752e9,0.0,35861.71121414538,98116.99703733528
N4096__b1024__constant_b16__fp32_tf32__rows4,4096,1024,constant_b16,constant,64,64,fp32_tf32,4,17825792,0.656532,0.614469,0.800879,0.772576,0.147761,0.146729,1.400766,1.246074,9.47994396356278,0.804293,2,9.663676416e9,9.663676416e9,0.0,65400.724250648,98116.99703733528
N4096__b1024__constant_b8__fp32_tf32__rows4,4096,1024,constant_b8,constant,128,128,fp32_tf32,4,37748736,0.698646,0.691955,0.829491,0.823873,0.202102,0.20005,1.400766,1.246074,6.9309853440342,0.900748,2,2.147483648e10,2.147483648e10,0.0,106257.4169478778,98116.99703733528
N4096__b1024__uniform_b32_b8__fp32_tf32__rows4,4096,1024,uniform_b32_b8,uniform,32,128,fp32_tf32,4,22437888,0.693057,0.658686,0.787318,0.757363,0.16047,0.16032,1.400766,1.246074,8.729145634698074,0.853527,2,1.1777499136e10,1.23731968e10,4.81442002118644,77105.98118028292,98116.99703733528
N4096__b1024__skewed_b32_b8__fp32_tf32__rows4,4096,1024,skewed_b32_b8,skewed,32,128,fp32_tf32,4,17654784,0.66165,0.536663,0.773047,0.756482,0.146479,0.146058,1.400766,1.246074,9.562913455171048,0.808129,2,9.07911168e9,9.622781952e9,5.649824288983328,65693.93532178675,98116.99703733528
N4096__b1024__constant_b32__fp32__rows4,4096,1024,constant_b32,constant,32,32,fp32,4,8650752,0.69525,0.664885,0.933627,0.891895,0.318166,0.318026,2.731318,2.719831,8.58456906143334,1.013416,2,4.563402752e9,4.563402752e9,0.0,14342.83597870294,50319.645486904126
N4096__b1024__constant_b16__fp32__rows4,4096,1024,constant_b16,constant,64,64,fp32,4,17825792,0.677735,0.668431,0.965825,0.931423,0.555892,0.464676,2.731318,2.719831,4.913396846869535,1.233627,2,9.663676416e9,9.663676416e9,0.0,17384.089744051,50319.645486904126
N4096__b1024__constant_b8__fp32__rows4,4096,1024,constant_b8,constant,128,128,fp32,4,37748736,0.758946,0.64813,1.212124,1.176501,0.662502,0.661821,2.731318,2.719831,4.1227317049608905,1.421448,2,2.147483648e10,2.147483648e10,0.0,32414.749661133097,50319.645486904126
N4096__b1024__uniform_b32_b8__fp32__rows4,4096,1024,uniform_b32_b8,uniform,32,128,fp32,4,22437888,0.63494,0.622892,0.929531,0.914359,0.497745,0.480489,2.731318,2.719831,5.487384102301379,1.132685,2,1.1777499136e10,1.23731968e10,4.81442002118644,24858.5054596229,50319.645486904126
N4096__b1024__skewed_b32_b8__fp32__rows4,4096,1024,skewed_b32_b8,skewed,32,128,fp32,4,17654784,0.700758,0.539688,0.868539,0.859707,0.454069,0.447049,2.731318,2.719831,6.015204737605958,1.154827,2,9.07911168e9,9.622781952e9,5.649824288983328,21192.334099002575,50319.645486904126
N8192__b512__constant_b32__fp16_fp32__rows4,8192,512,constant_b32,constant,16,16,fp16_fp32,4,17301504,10.219414,10.019585,11.684977,11.51322,0.699547,0.694088,1.533084,1.519153,2.191538238317082,10.918961000000001,1,3.6507222016e10,3.6507222016e10,0.0,52186.94671837632,717189.4219599187
N8192__b512__constant_b16__fp16_fp32__rows4,8192,512,constant_b16,constant,32,32,fp16_fp32,4,35651584,9.533447,9.470273,11.896945,11.74003,0.866997,0.863713,1.533084,1.519153,1.7682690943567276,10.400444,1,7.7309411328e10,7.7309411328e10,0.0,89169.17974110637,717189.4219599187
N8192__b512__constant_b8__fp16_fp32__rows4,8192,512,constant_b8,constant,64,64,fp16_fp32,4,75497472,9.678795,9.502571,11.578177,11.555052,1.221488,1.204523,1.533084,1.519153,1.255095424596885,10.900282999999998,1,1.7179869184e11,1.7179869184e11,0.0,140647.05657362167,717189.4219599187
N8192__b512__uniform_b32_b8__fp16_fp32__rows4,8192,512,uniform_b32_b8,uniform,16,64,fp16_fp32,4,49996672,9.840246,9.638765,12.091054,11.950665,0.995269,0.980727,1.533084,1.519153,1.5403714975549323,10.835515000000001,1,9.6661817344e10,1.06279469056e11,9.04939759054718,106784.6673170771,717189.4219599187
N8192__b512__skewed_b32_b8__fp16_fp32__rows4,8192,512,skewed_b32_b8,skewed,16,64,fp16_fp32,4,40364288,10.324962,9.963831,12.12776,11.936113,0.953557,0.949551,1.533084,1.519153,1.6077528663729592,11.278519,1,7.4085449728e10,8.2778259456e10,10.50131977300221,86809.97513100947,717189.4219599187
N8192__b512__constant_b32__fp32_tf32__rows4,8192,512,constant_b32,constant,16,16,fp32_tf32,4,34603008,11.605007,10.858981,100.60565,65.950006,0.796792,0.79515,2.769064,2.767221,3.4752658159218472,12.401799,1,3.6507222016e10,3.6507222016e10,0.0,45817.75672446511,397069.77801018686
N8192__b512__constant_b16__fp32_tf32__rows4,8192,512,constant_b16,constant,32,32,fp32_tf32,4,71303168,14.647991,10.586843,14.69374,12.887276,1.052455,1.045034,2.769064,2.767221,2.6310521589996725,15.700446,2,7.7309411328e10,7.7309411328e10,0.0,73456.2630497266,397069.77801018686
N8192__b512__constant_b8__fp32_tf32__rows4,8192,512,constant_b8,constant,64,64,fp32_tf32,4,150994944,9.730783,9.544954,11.58044,11.415874,1.698622,1.686464,2.769064,2.767221,1.6301825832939878,11.429405000000001,1,1.7179869184e11,1.7179869184e11,0.0,101140.03694759635,397069.77801018686
N8192__b512__uniform_b32_b8__fp32_tf32__rows4,8192,512,uniform_b32_b8,uniform,16,64,fp32_tf32,4,99993344,9.712475,9.700698,12.075231,11.917495,1.373936,1.353956,2.769064,2.767221,2.015424299239557,11.086411,1,9.6661817344e10,1.06279469056e11,9.04939759054718,77354.0172584458,397069.77801018686
N8192__b512__skewed_b32_b8__fp32_tf32__rows4,8192,512,skewed_b32_b8,skewed,16,64,fp32_tf32,4,80728576,10.084853,9.880526,11.805958,11.78767,1.195859,1.183892,2.769064,2.767221,2.315543889371573,11.280712000000001,1,7.4085449728e10,8.2778259456e10,10.50131977300221,69220.75215890836,397069.77801018686
N8192__b512__constant_b32__fp32__rows4,8192,512,constant_b32,constant,16,16,fp32,4,34603008,9.498715,9.389863,11.585649,11.539509,2.082406,1.970249,21.340807,21.27585,10.248149016090041,11.581121000000001,1,3.6507222016e10,3.6507222016e10,0.0,17531.270086620956,51521.55810115334
N8192__b512__constant_b16__fp32__rows4,8192,512,constant_b16,constant,32,32,fp32,4,71303168,9.439486,9.360328,12.291304,11.94758,2.861432,2.853921,21.340807,21.27585,7.4580863707402445,12.300918000000001,2,7.7309411328e10,7.7309411328e10,0.0,27017.73494110641,51521.55810115334
N8192__b512__constant_b8__fp32__rows4,8192,512,constant_b8,constant,64,64,fp32,4,150994944,11.990825,11.908251,81.568119,73.070362,5.155856,5.148855,21.340807,21.27585,4.139139456183416,17.146681,1,1.7179869184e11,1.7179869184e11,0.0,33321.08030945783,51521.55810115334
N8192__b512__uniform_b32_b8__fp32__rows4,8192,512,uniform_b32_b8,uniform,16,64,fp32,4,99993344,9.646687,9.619937,12.360007,12.359727,3.958444,3.958414,21.340807,21.27585,5.3912110415102505,13.605131,2,9.6661817344e10,1.06279469056e11,9.04939759054718,26848.79944139667,51521.55810115334
N8192__b512__skewed_b32_b8__fp32__rows4,8192,512,skewed_b32_b8,skewed,16,64,fp32,4,80728576,9.994437,9.81661,12.219297,12.143223,3.359808,3.344265,21.340807,21.27585,6.351793614397013,13.354244999999999,2,7.4085449728e10,8.2778259456e10,10.50131977300221,24637.794616835246,51521.55810115334
N8192__b1024__constant_b32__fp16_fp32__rows4,8192,1024,constant_b32,constant,32,32,fp16_fp32,4,17301504,2.2717,2.219151,2.882624,2.608053,0.350886,0.350344,1.533084,1.519153,4.369179733588687,2.622586,1,3.6507222016e10,3.6507222016e10,0.0,104042.9712670212,717189.4219599187
N8192__b1024__constant_b16__fp16_fp32__rows4,8192,1024,constant_b16,constant,64,64,fp16_fp32,4,35651584,2.280473,2.219421,2.898157,2.815203,0.619087,0.493448,1.533084,1.519153,2.4763627729220605,2.89956,2,7.7309411328e10,7.7309411328e10,0.0,124876.48961777585,717189.4219599187
N8192__b1024__constant_b8__fp16_fp32__rows4,8192,1024,constant_b8,constant,128,128,fp16_fp32,4,75497472,2.184369,2.179251,2.965258,2.775894,0.758355,0.746237,1.533084,1.519153,2.021591471012916,2.9427239999999997,1,1.7179869184e11,1.7179869184e11,0.0,226541.2528960711,717189.4219599187
N8192__b1024__uniform_b32_b8__fp16_fp32__rows4,8192,1024,uniform_b32_b8,uniform,32,128,fp16_fp32,4,46948224,2.368354,2.357909,2.930666,2.864016,0.587449,0.583043,1.533084,1.519153,2.609731227732109,2.955803,2,9.0514444288e10,9.581232128e10,5.529431832172807,163098.96055657597,717189.4219599187
N8192__b1024__skewed_b32_b8__fp16_fp32__rows4,8192,1024,skewed_b32_b8,skewed,32,128,fp16_fp32,4,36012288,2.28522,2.219201,2.910456,2.864887,0.516363,0.515311,1.533084,1.519153,2.9690043632096024,2.801583,1,6.7844726784e10,7.2194719744e10,6.025361654460223,139813.890119935,717189.4219599187
N8192__b1024__constant_b32__fp32_tf32__rows4,8192,1024,constant_b32,constant,32,32,fp32_tf32,4,34603008,3.863391,3.768981,6.916881,4.841025,0.468651,0.465076,2.769064,2.767221,5.9085844263641825,4.332042,1,3.6507222016e10,3.6507222016e10,0.0,77898.52580278288,397069.77801018686
N8192__b1024__constant_b16__fp32_tf32__rows4,8192,1024,constant_b16,constant,64,64,fp32_tf32,4,71303168,2.239821,2.16487,2.931677,2.864297,0.745886,0.727468,2.769064,2.767221,3.7124493555315423,2.985707,2,7.7309411328e10,7.7309411328e10,0.0,103647.75760370887,397069.77801018686
N8192__b1024__constant_b8__fp32_tf32__rows4,8192,1024,constant_b8,constant,128,128,fp32_tf32,4,150994944,2.315014,2.216247,3.114311,3.084807,1.214668,1.202159,2.769064,2.767221,2.2796879476531857,3.529682,2,1.7179869184e11,1.7179869184e11,0.0,141436.74801674203,397069.77801018686
N8192__b1024__uniform_b32_b8__fp32_tf32__rows4,8192,1024,uniform_b32_b8,uniform,32,128,fp32_tf32,4,93896448,2.408835,2.31897,2.936585,2.840461,0.84883,0.847198,2.769064,2.767221,3.262212692765336,3.257665,2,9.0514444288e10,9.581232128e10,5.529431832172807,112875.74812388817,397069.77801018686
N8192__b1024__skewed_b32_b8__fp32_tf32__rows4,8192,1024,skewed_b32_b8,skewed,32,128,fp32_tf32,4,72024576,2.37217,2.255876,3.050586,2.851777,0.732837,0.729021,2.769064,2.767221,3.7785537575204313,3.105007,2,6.7844726784e10,7.2194719744e10,6.025361654460223,98514.02118615736,397069.77801018686
N8192__b1024__constant_b32__fp32__rows4,8192,1024,constant_b32,constant,32,32,fp32,4,34603008,2.315055,2.259211,3.225587,3.204596,1.401047,1.395678,21.340807,21.27585,15.232042179884045,3.7161020000000002,2,3.6507222016e10,3.6507222016e10,0.0,26057.10016580457,51521.55810115334
N8192__b1024__constant_b16__fp32__rows4,8192,1024,constant_b16,constant,64,64,fp32,4,71303168,2.977055,2.617317,4.007838,3.740638,2.35866,2.354163,21.340807,21.27585,9.047852170300086,5.335715,2,7.7309411328e10,7.7309411328e10,0.0,32776.83571519422,51521.55810115334
N8192__b1024__constant_b8__fp32__rows4,8192,1024,constant_b8,constant,128,128,fp32,4,150994944,4.282078,4.039285,8.035936,6.664854,4.025995,4.020016,21.340807,21.27585,5.300753478332686,8.308073,2,1.7179869184e11,1.7179869184e11,0.0,42672.35598653252,51521.55810115334
N8192__b1024__uniform_b32_b8__fp32__rows4,8192,1024,uniform_b32_b8,uniform,32,128,fp32,4,93896448,3.282252,3.243343,4.941275,3.88889,2.869304,2.846319,21.340807,21.27585,7.437624943191799,6.151556,2,9.0514444288e10,9.581232128e10,5.529431832172807,33392.181964685515,51521.55810115334
N8192__b1024__skewed_b32_b8__fp32__rows4,8192,1024,skewed_b32_b8,skewed,32,128,fp32,4,72024576,4.218513,3.588581,7.307836,6.304384,2.372831,2.363056,21.340807,21.27585,8.993816668780878,6.591343999999999,1,6.7844726784e10,7.2194719744e10,6.025361654460223,30425.5632803179,51521.55810115334
N8192__b2048__constant_b32__fp16_fp32__rows4,8192,2048,constant_b32,constant,64,64,fp16_fp32,4,17301504,0.710934,0.640359,0.9556,0.934919,0.244446,0.242964,1.533084,1.519153,6.271667362116786,0.9553799999999999,1,3.6507222016e10,3.6507222016e10,0.0,149346.7760405161,717189.4219599187
N8192__b2048__constant_b16__fp16_fp32__rows4,8192,2048,constant_b16,constant,128,128,fp16_fp32,4,35651584,0.711685,0.695871,1.013888,0.914018,0.344756,0.343795,1.533084,1.519153,4.446866769541356,1.056441,2,7.7309411328e10,7.7309411328e10,0.0,224243.84587360336,717189.4219599187
N8192__b2048__constant_b8__fp16_fp32__rows4,8192,2048,constant_b8,constant,256,256,fp16_fp32,4,75497472,0.797803,0.793197,1.385784,1.348489,0.635491,0.633188,1.533084,1.519153,2.4124401447070056,1.433294,2,1.7179869184e11,1.7179869184e11,0.0,270340.0863898938,717189.4219599187
N8192__b2048__uniform_b32_b8__fp16_fp32__rows4,8192,2048,uniform_b32_b8,uniform,64,256,fp16_fp32,4,43832320,0.665336,0.639407,0.986917,0.970152,0.458396,0.446398,1.533084,1.519153,3.3444532674805187,1.123732,2,9.4308139008e10,9.6590626816e10,2.363053106952104,210714.3753784937,717189.4219599187
N8192__b2048__skewed_b32_b8__fp16_fp32__rows4,8192,2048,skewed_b32_b8,skewed,64,256,fp16_fp32,4,34013440,0.653147,0.628701,0.970683,0.963502,0.339137,0.338807,1.533084,1.519153,4.52054479458154,0.992284,2,7.2626036736e10,7.4089234432e10,1.9749126944251807,218464.02613692993,717189.4219599187
N8192__b2048__constant_b32__fp32_tf32__rows4,8192,2048,constant_b32,constant,64,64,fp32_tf32,4,34603008,0.743252,0.643673,1.123691,1.086716,0.583303,0.366228,2.769064,2.767221,4.747213712255895,1.326555,2,3.6507222016e10,3.6507222016e10,0.0,62587.06369759799,397069.77801018686
N8192__b2048__constant_b16__fp32_tf32__rows4,8192,2048,constant_b16,constant,128,128,fp32_tf32,4,71303168,0.704635,0.625336,1.339835,1.247627,0.578155,0.57451,2.769064,2.767221,4.7894837889493305,1.2827899999999999,1,7.7309411328e10,7.7309411328e10,0.0,133717.44831057417,397069.77801018686
N8192__b2048__constant_b8__fp32_tf32__rows4,8192,2048,constant_b8,constant,256,256,fp32_tf32,4,150994944,0.804905,0.802812,1.754205,1.690771,1.043872,1.041198,2.769064,2.767221,2.6526853867140803,1.848777,2,1.7179869184e11,1.7179869184e11,0.0,164578.31213022288,397069.77801018686
N8192__b2048__uniform_b32_b8__fp32_tf32__rows4,8192,2048,uniform_b32_b8,uniform,64,256,fp32_tf32,4,87664640,0.744203,0.724003,1.270571,1.219194,0.74148,0.735942,2.769064,2.767221,3.7345093596590604,1.4856829999999999,2,9.4308139008e10,9.6590626816e10,2.363053106952104,130267.33939688191,397069.77801018686
N8192__b2048__skewed_b32_b8__fp32_tf32__rows4,8192,2048,skewed_b32_b8,skewed,64,256,fp32_tf32,4,68026880,0.726417,0.648851,1.304332,1.268979,0.623703,0.617504,2.769064,2.767221,4.439715698016524,1.35012,2,7.2626036736e10,7.4089234432e10,1.9749126944251807,118789.28661879132,397069.77801018686
N8192__b2048__constant_b32__fp32__rows4,8192,2048,constant_b32,constant,64,64,fp32,4,34603008,0.693307,0.693187,1.763088,1.719413,1.213155,1.209781,21.340807,21.27585,17.59116271210192,1.9064619999999999,2,3.6507222016e10,3.6507222016e10,0.0,30092.7927725641,51521.55810115334
N8192__b2048__constant_b16__fp32__rows4,8192,2048,constant_b16,constant,128,128,fp32,4,71303168,0.706658,0.668911,2.423757,2.404368,1.988165,1.985441,21.340807,21.27585,10.733921480360031,2.694823,2,7.7309411328e10,7.7309411328e10,0.0,38884.806506502224,51521.55810115334
N8192__b2048__constant_b8__fp32__rows4,8192,2048,constant_b8,constant,256,256,fp32,4,150994944,0.852346,0.74209,4.222599,4.207417,3.915189,3.912245,21.340807,21.27585,5.45077312998172,4.767535,3,1.7179869184e11,1.7179869184e11,0.0,43880.05070508729,51521.55810115334
N8192__b2048__uniform_b32_b8__fp32__rows4,8192,2048,uniform_b32_b8,uniform,64,256,fp32,4,87664640,0.666407,0.658476,2.745929,2.740311,2.510947,2.498489,21.340807,21.27585,8.499106910659606,3.177354,3,9.4308139008e10,9.6590626816e10,2.363053106952104,38467.80788921471,51521.55810115334
