case_id,N,tile_size,rank,precision,rows_per_run,workspace_bytes,analysis_ms,analysis_min_ms,numeric_median_ms,numeric_min_ms,executed_flops,executed_gflops
N4096__b512__r64__fp32_tf32__rows4,4096,512,64,fp32_tf32,4,37748736,2.77388,2.541231,0.294922,0.294861,2.147483648e10,72815.30872569696
N4096__b512__r64__fp32_tf32__rows5,4096,512,64,fp32_tf32,5,47185920,2.176676,2.114804,0.316343,0.316193,2.147483648e10,67884.65836133563
N4096__b512__r64__fp32_tf32__rows6,4096,512,64,fp32_tf32,6,56623104,2.222916,2.216315,0.287741,0.28751,2.147483648e10,74632.52188600165
N4096__b512__r64__fp32_tf32__rows7,4096,512,64,fp32_tf32,7,66060288,2.220412,2.072079,0.309723,0.309203,2.147483648e10,69335.62079664733
N4096__b512__r64__fp32_tf32__rows8,4096,512,64,fp32_tf32,8,75497472,1.649547,1.638922,0.240269,0.239739,2.147483648e10,89378.30714740562
N4096__b512__r64__fp32__rows1,4096,512,64,fp32,1,9437184,5.112118,4.797066,1.696849,1.696728,2.147483648e10,12655.714491978957
N4096__b512__r64__fp32__rows2,4096,512,64,fp32,2,18874368,3.10833,2.889943,1.010552,1.007708,2.147483648e10,21250.60014724626
N4096__b512__r64__fp32__rows3,4096,512,64,fp32,3,28311552,2.598186,2.52031,1.074488,1.073656,2.147483648e10,19986.11104079338
N4096__b512__r64__fp32__rows4,4096,512,64,fp32,4,37748736,2.398939,2.274122,0.874989,0.873817,2.147483648e10,24542.978803162096
N4096__b512__r64__fp32__rows5,4096,512,64,fp32,5,47185920,2.307912,2.108014,0.971814,0.965894,2.147483648e10,22097.681737451818
N4096__b512__r64__fp32__rows6,4096,512,64,fp32,6,56623104,2.270256,2.198879,0.826066,0.824984,2.147483648e10,25996.514176833327
N4096__b512__r64__fp32__rows7,4096,512,64,fp32,7,66060288,2.248163,2.177628,0.916521,0.9159,2.147483648e10,23430.817711760013
N4096__b512__r64__fp32__rows8,4096,512,64,fp32,8,75497472,1.697429,1.568366,0.711475,0.705665,2.147483648e10,30183.543314944305
N8192__b1024__r128__fp16_fp32__rows1,8192,1024,128,fp16_fp32,1,18874368,5.119328,4.903566,0.939536,0.938203,1.7179869184e11,182854.82604179083
N8192__b1024__r128__fp16_fp32__rows2,8192,1024,128,fp16_fp32,2,37748736,3.156011,3.129852,0.812165,0.806988,1.7179869184e11,211531.75997488195
N8192__b1024__r128__fp16_fp32__rows3,8192,1024,128,fp16_fp32,3,56623104,2.651387,2.599218,0.803792,0.799446,1.7179869184e11,213735.25966916815
N8192__b1024__r128__fp16_fp32__rows4,8192,1024,128,fp16_fp32,4,75497472,2.505558,2.463825,0.755891,0.754008,1.7179869184e11,227279.7160437153
N8192__b1024__r128__fp16_fp32__rows5,8192,1024,128,fp16_fp32,5,94371840,2.275504,2.044888,0.767247,0.765775,1.7179869184e11,223915.7557344636
N8192__b1024__r128__fp16_fp32__rows6,8192,1024,128,fp16_fp32,6,113246208,2.243847,2.23955,0.758034,0.753678,1.7179869184e11,226637.18492838053
N8192__b1024__r128__fp16_fp32__rows7,8192,1024,128,fp16_fp32,7,132120576,2.160171,2.044598,0.763583,0.763101,1.7179869184e11,224990.19993897193
N8192__b1024__r128__fp16_fp32__rows8,8192,1024,128,fp16_fp32,8,150994944,1.639192,1.628517,0.718224,0.716963,1.7179869184e11,239199.31920960592
N8192__b1024__r128__fp32_tf32__rows1,8192,1024,128,fp32_tf32,1,37748736,5.099258,5.055312,1.529688,1.527274,1.7179869184e11,112309.629048538
N8192__b1024__r128__fp32_tf32__rows2,8192,1024,128,fp32_tf32,2,75497472,3.097784,2.998365,1.352694,1.348577,1.7179869184e11,127004.84502777421
